ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3004622,QnrS10,protein homolog model,antibiotic target protection; fluoroquinolone antibiotic,no_reliable_match,,,,,,,1,0.01,Klebsiella pneumoniae,True
ARO:3004624,QnrS11,protein homolog model,antibiotic target protection; fluoroquinolone antibiotic,no_reliable_match,,,,,,,2,0.0,Salmonella enterica,True
ARO:3004626,Erm(49),protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin antibiotic,no_reliable_match,,,,,,,3,2.41,Bifidobacterium breve,True
ARO:3004633,ADC-67,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,1,0.01,Acinetobacter baumannii,True
ARO:3004634,ADC-73,protein homolog model,antibiotic inactivation; cephalosporin,no_reliable_match,,,,,,,1,13.78,Acinetobacter baumannii,True
ARO:3004636,qnrE1,protein homolog model,antibiotic target protection; fluoroquinolone antibiotic,no_reliable_match,,,,,,,8,13.44,Enterobacter asburiae,True
ARO:3004637,qnrE2,protein homolog model,antibiotic target protection; fluoroquinolone antibiotic,no_reliable_match,,,,,,,3,5.14,Enterobacter asburiae,True
ARO:3004638,AAC(6')-I-48,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,no_reliable_match,,,,,,,1,0.0,Aeromonas veronii,True
ARO:3004639,Corynebacterium striatum tetA,protein homolog model,antibiotic efflux; penam; tetracycline antibiotic,no_reliable_match,,,,,,,4,100.0,Corynebacterium ureicelerivorans,True
ARO:3004641,AAC(6')-I-43,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,no_reliable_match,,,,,,,1,0.03,Acinetobacter baumannii,True
ARO:3004645,dfrI,protein homolog model,antibiotic target replacement; diaminopyrimidine antibiotic,no_reliable_match,,,,,,,1,0.01,Salmonella enterica,True
ARO:3004649,cfr(B),protein homolog model,antibiotic target alteration; lincosamide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; streptogramin antibiotic,no_reliable_match,,,,,,,2,0.16,Enterococcus faecalis,True
ARO:3004651,lin,protein homolog model,antibiotic inactivation; lincosamide antibiotic,no_reliable_match,,,,,,,2,74.28,Listeria monocytogenes,True
ARO:3004656,catII from Escherichia coli K-12,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,36,26.99,Morganella morganii,True
ARO:3004657,catA4,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,1,40.92,Proteus mirabilis,True
ARO:3004658,catA8,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,18,7.5,Staphylococcus arlettae,True
ARO:3004659,Mef(En2),protein homolog model,antibiotic efflux; lincosamide antibiotic; macrolide antibiotic,no_reliable_match,,,,,,,9,45.83,Phocaeicola dorei,True
ARO:3004660,catB11,protein homolog model,antibiotic inactivation; phenicol antibiotic,no_reliable_match,,,,,,,16,1.86,Klebsiella michiganensis,True
ARO:3004661,Staphylococcus aureus FosB,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,no_reliable_match,,,,,,,2,35.04,Staphylococcus aureus,True
ARO:3004662,MCR-3.3,protein homolog model,antibiotic target alteration; peptide antibiotic,no_reliable_match,,,,,,,2,2.81,Aeromonas veronii,True
ARO:3004665,cmlA8,protein homolog model,antibiotic efflux; phenicol antibiotic,no_reliable_match,,,,,,,2,0.11,Pseudomonas aeruginosa,True
ARO:3004667,Staphylococcus aureus norA,protein homolog model,antibiotic efflux; fluoroquinolone antibiotic,no_reliable_match,,,,,,,1,55.8,Staphylococcus aureus,True
ARO:3004669,emtA,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; orthosomycin antibiotic,no_reliable_match,,,,,,,1,0.2,Enterococcus faecium,True
ARO:3004675,aphA15,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,no_reliable_match,,,,,,,14,1.19,Enterobacter asburiae,True
ARO:3004679,rmtE2,protein homolog model,aminoglycoside antibiotic; antibiotic target alteration,no_reliable_match,,,,,,,4,0.09,Enterobacter hormaechei,True
ARO:3004682,aadA27,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,no_reliable_match,,,,,,,3,3.64,Acinetobacter johnsonii,True
